program starts ... 
io initialization starts ... 
writing initial data to files ...
calculating golden model ... 
calculating using sim model ... 
result comparison ...
diff_out_fm[0][31][11] = -15928.541 20.08 319865.19
diff_out_fm[0][31][12] = -15912.949 20.1 319870.38
diff_out_fm[0][31][13] = -15897.386 20.120001 319875.53
diff_out_fm[0][31][14] = -15881.855 20.139999 319880.69
diff_out_fm[0][31][15] = -15866.354 20.16 319885.84
diff_out_fm[0][31][16] = -15850.883 20.18 319891
diff_out_fm[0][31][17] = -15835.441 20.200001 319896.12
diff_out_fm[0][31][18] = -15820.035 20.219999 319901.31
diff_out_fm[0][31][19] = -15804.655 20.24 319906.47
diff_out_fm[0][31][20] = -15789.308 20.26 319911.62
diff_out_fm[0][31][21] = -15773.988 20.280001 319916.78
diff_out_fm[0][31][22] = -15758.701 20.299999 319921.94
diff_out_fm[0][31][23] = -15743.444 20.32 319927.09
diff_out_fm[0][31][24] = -15728.216 20.34 319932.25
diff_out_fm[0][31][25] = -15713.017 20.360001 319937.41
diff_out_fm[0][31][26] = -15697.851 20.379999 319942.56
diff_out_fm[0][31][27] = -15682.712 20.4 319947.72
diff_out_fm[0][31][28] = -15667.603 20.42 319952.84
diff_out_fm[0][31][29] = -15652.522 20.440001 319958
diff_out_fm[0][31][30] = -10414.872 20.459999 213108.72
diff_out_fm[0][31][31] = -5197.0503 20.48 106456.06
diff_out_fm[1][0][30] = -61976.996 21.1 1307735.8
diff_out_fm[1][0][31] = -30945.039 21.120001 653580.38
diff_out_fm[1][1][30] = -60183.965 21.74 1308421.1
diff_out_fm[1][1][31] = -30050.604 21.76 653922.88
diff_out_fm[1][2][30] = -58493.488 22.379999 1309106.6
diff_out_fm[1][2][31] = -29207.279 22.4 654265.44
diff_out_fm[1][3][30] = -56897 23.02 1309792
diff_out_fm[1][3][31] = -28410.801 23.040001 654607.94
diff_out_fm[1][4][30] = -55386.871 23.66 1310477
diff_out_fm[1][4][31] = -27657.383 23.68 654950.5
diff_out_fm[1][5][30] = -53956.312 24.299999 1311162.6
diff_out_fm[1][5][31] = -26943.613 24.32 655293
diff_out_fm[1][6][30] = -52599.156 24.940001 1311848
diff_out_fm[1][6][31] = -26266.453 24.959999 655635.56
diff_out_fm[1][7][30] = -51309.922 25.58 1312533.4
diff_out_fm[1][7][31] = -25623.143 25.6 655978.06
diff_out_fm[1][8][30] = -50083.617 26.219999 1313218.6
diff_out_fm[1][8][31] = -25011.217 26.24 656320.56
diff_out_fm[1][9][30] = -48915.758 26.860001 1313904.1
diff_out_fm[1][9][31] = -24428.434 26.879999 656663.12
diff_out_fm[1][10][30] = -47802.25 27.5 1314589.4
diff_out_fm[1][10][31] = -23872.754 27.52 657005.69
diff_out_fm[1][11][30] = -46739.398 28.139999 1315274.8
diff_out_fm[1][11][31] = -23342.328 28.16 657348.12
diff_out_fm[1][12][30] = -45723.812 28.780001 1315960.1
diff_out_fm[1][12][31] = -22835.482 28.799999 657690.69
diff_out_fm[1][13][30] = -44752.418 29.42 1316645.5
diff_out_fm[1][13][31] = -22350.672 29.440001 658033.25
diff_out_fm[1][14][30] = -43822.375 30.059999 1317330.6
diff_out_fm[1][14][31] = -21886.492 30.08 658375.75
diff_out_fm[1][15][30] = -42931.121 30.700001 1318016.2
diff_out_fm[1][15][31] = -21441.652 30.719999 658718.31
diff_out_fm[1][16][30] = -42076.266 31.34 1318701.5
diff_out_fm[1][16][31] = -21014.969 31.360001 659060.81
diff_out_fm[1][17][30] = -41255.625 31.98 1319386.9
diff_out_fm[1][17][31] = -20605.355 32 659403.38
diff_out_fm[1][18][30] = -40467.188 32.619999 1320072.2
diff_out_fm[1][18][31] = -20211.803 32.639999 659745.88
diff_out_fm[1][19][30] = -39709.094 33.259998 1320757.6
diff_out_fm[1][19][31] = -19833.391 33.279999 660088.44
diff_out_fm[1][20][30] = -38979.621 33.900002 1321443.1
diff_out_fm[1][20][31] = -19469.252 33.919998 660430.94
diff_out_fm[1][21][30] = -38277.18 34.540001 1322128.4
diff_out_fm[1][21][31] = -19118.602 34.560001 660773.44
diff_out_fm[1][22][30] = -37600.301 35.18 1322813.8
diff_out_fm[1][22][31] = -18780.705 35.200001 661116
diff_out_fm[1][23][30] = -36947.605 35.82 1323499.1
diff_out_fm[1][23][31] = -18454.875 35.84 661458.56
diff_out_fm[1][24][30] = -36317.832 36.459999 1324184.6
diff_out_fm[1][24][31] = -18140.475 36.48 661801
diff_out_fm[1][25][30] = -35709.777 37.099998 1324869.8
diff_out_fm[1][25][31] = -17836.92 37.119999 662143.56
diff_out_fm[1][26][30] = -35122.348 37.740002 1325555.2
diff_out_fm[1][26][31] = -17543.654 37.759998 662486.12
diff_out_fm[1][27][30] = -34554.516 38.380001 1326240.8
diff_out_fm[1][27][31] = -17260.162 38.400002 662828.62
diff_out_fm[1][28][30] = -34005.305 39.02 1326926
diff_out_fm[1][28][31] = -16985.967 39.040001 663171.19
diff_out_fm[1][29][30] = -33473.82 39.66 1327611.4
diff_out_fm[1][29][31] = -16720.615 39.68 663513.69
diff_out_fm[1][30][0] = -33402.832 39.700001 1326132.2
diff_out_fm[1][30][1] = -33386.555 39.720001 1326153.8
diff_out_fm[1][30][2] = -33370.293 39.740002 1326175.2
diff_out_fm[1][30][3] = -33354.043 39.759998 1326196.5
diff_out_fm[1][30][4] = -33337.816 39.779999 1326218
diff_out_fm[1][30][5] = -33321.598 39.799999 1326239.2
diff_out_fm[1][30][6] = -33305.395 39.82 1326260.8
diff_out_fm[1][30][7] = -33289.215 39.84 1326282.2
diff_out_fm[1][30][8] = -33273.047 39.860001 1326303.5
diff_out_fm[1][30][9] = -33256.902 39.880001 1326325.1
diff_out_fm[1][30][10] = -33240.762 39.900002 1326346.2
diff_out_fm[1][30][11] = -33224.648 39.919998 1326367.8
diff_out_fm[1][30][12] = -33208.539 39.939999 1326389
diff_out_fm[1][30][13] = -33192.457 39.959999 1326410.6
diff_out_fm[1][30][14] = -33176.387 39.98 1326431.9
diff_out_fm[1][30][15] = -33160.336 40 1326453.4
diff_out_fm[1][30][16] = -33144.293 40.02 1326474.6
diff_out_fm[1][30][17] = -33128.277 40.040001 1326496.2
diff_out_fm[1][30][18] = -33112.27 40.060001 1326517.5
diff_out_fm[1][30][19] = -33096.277 40.080002 1326539
diff_out_fm[1][30][20] = -33080.309 40.099998 1326560.4
diff_out_fm[1][30][21] = -33064.348 40.119999 1326581.8
diff_out_fm[1][30][22] = -33048.402 40.139999 1326603
diff_out_fm[1][30][23] = -33032.48 40.16 1326624.5
diff_out_fm[1][30][24] = -33016.57 40.18 1326646
diff_out_fm[1][30][25] = -33000.676 40.200001 1326667.4
diff_out_fm[1][30][26] = -32984.797 40.220001 1326688.8
diff_out_fm[1][30][27] = -32968.934 40.240002 1326710.1
diff_out_fm[1][30][28] = -32953.09 40.259998 1326731.6
diff_out_fm[1][30][29] = -32937.258 40.279999 1326753
diff_out_fm[1][30][30] = -21937.277 40.299999 884112.56
diff_out_fm[1][30][31] = -10957.868 40.32 441861.56
diff_out_fm[1][31][0] = -16418.066 40.34 662345.12
diff_out_fm[1][31][1] = -16410.193 40.360001 662355.81
diff_out_fm[1][31][2] = -16402.328 40.380001 662366.44
diff_out_fm[1][31][3] = -16394.473 40.400002 662377.12
diff_out_fm[1][31][4] = -16386.625 40.419998 662387.81
diff_out_fm[1][31][5] = -16378.787 40.439999 662398.56
diff_out_fm[1][31][6] = -16370.955 40.459999 662409.25
diff_out_fm[1][31][7] = -16363.129 40.48 662419.94
diff_out_fm[1][31][8] = -16355.312 40.5 662430.62
diff_out_fm[1][31][9] = -16347.503 40.52 662441.31
diff_out_fm[1][31][10] = -16339.696 40.540001 662451.88
diff_out_fm[1][31][11] = -16331.906 40.560001 662462.69
diff_out_fm[1][31][12] = -16324.118 40.580002 662473.31
diff_out_fm[1][31][13] = -16316.34 40.599998 662484
diff_out_fm[1][31][14] = -16308.567 40.619999 662494.62
diff_out_fm[1][31][15] = -16300.806 40.639999 662505.38
diff_out_fm[1][31][16] = -16293.051 40.66 662516.12
diff_out_fm[1][31][17] = -16285.302 40.68 662526.75
diff_out_fm[1][31][18] = -16277.56 40.700001 662537.38
diff_out_fm[1][31][19] = -16269.827 40.720001 662548.12
diff_out_fm[1][31][20] = -16262.104 40.740002 662558.88
diff_out_fm[1][31][21] = -16254.386 40.759998 662569.5
diff_out_fm[1][31][22] = -16246.676 40.779999 662580.19
diff_out_fm[1][31][23] = -16238.971 40.799999 662590.81
diff_out_fm[1][31][24] = -16231.276 40.82 662601.5
diff_out_fm[1][31][25] = -16223.589 40.84 662612.19
diff_out_fm[1][31][26] = -16215.908 40.860001 662622.88
diff_out_fm[1][31][27] = -16208.237 40.880001 662633.62
diff_out_fm[1][31][28] = -16200.572 40.900002 662644.31
diff_out_fm[1][31][29] = -16192.914 40.919998 662654.94
diff_out_fm[1][31][30] = -10784.911 40.939999 441575.19
diff_out_fm[1][31][31] = -5386.9453 40.959999 220690.23
diff_out_fm[2][0][30] = -47678.609 41.580002 1982518.2
diff_out_fm[2][0][31] = -23820.502 41.599998 990974.44
diff_out_fm[2][1][30] = -46980.469 42.220001 1983557.6
diff_out_fm[2][1][31] = -23471.865 42.240002 991493.88
diff_out_fm[2][2][30] = -46303.172 42.860001 1984596.9
diff_out_fm[2][2][31] = -23133.641 42.880001 992013.44
diff_out_fm[2][3][30] = -45645.809 43.5 1985636.2
diff_out_fm[2][3][31] = -22805.361 43.52 992532.88
diff_out_fm[2][4][30] = -45007.504 44.139999 1986675.2
diff_out_fm[2][4][31] = -22486.598 44.16 993052.38
diff_out_fm[2][5][30] = -44387.449 44.779999 1987714.6
